canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
Sacituzumab govitecan	GS-0132; IMMU-132; IMMU0132; TROP-2-SN38; hRS7-SN38 antibody drug conjugate; Isactuzumab govitecan		Tumor-associated calcium signal transducer 2 (TROP2)	Immunomedics, Inc; Gilead Sciences, Inc; BSP Pharmaceuticals SpA; Everest Medicines (Singapore) Pte. Ltd	Approved	Approved (FDA): Apr, 2020	NCT01631552; NCT02574455; NCT03901339; NCT04454437	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
Tusamitamab ravtansine	AR408701; IBI-126; Maytansin-loaded anti-CEACAM5 mAb; SAR 408701; SAR-408701; SAR408701; Tusamitamab ravtansine		Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	ImmunoGen, Inc; Sanofi; Innovent Biologics, Inc	Phase3	Phase 3	NCT02187848; NCT03324113; NCT04154956; NCT04524689; NCT04659603; NCT05071053; NCT05245071; NCT05429762; NCT05703555	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
SYD-1875	Anti-5T4 antibody drug conjugate; SYD 1875; SYD-1875; SYD18 75; SYD1875		Trophoblast glycoprotein (TPBG)	Synthon BV; Byondis BV	Phase1	Phase 1 (Terminated)	NCT04202705	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
Cotinine-duocarmycin	Cotinine duocarmycin		Epidermal growth factor receptor (EGFR)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DB-1303	BNT323; DB 1303; DB-1303; DB1303		Receptor tyrosine-protein kinase erbB-2 (HER2)	Duality Biologics; BioNTech SE	Phase3	Phase 3	NCT05150691	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
MRG-002	MRG 002; MRG-002; MRG002		Receptor tyrosine-protein kinase erbB-2 (HER2)	Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd	Phase2	Phase 2	NCT04492488; NCT04742153; NCT04837508; NCT04839510; NCT04924699; NCT04941339; NCT05141747; NCT05141786; NCT05263869; NCT05338957; NCT05754853	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc; pubmed
HDM2017					Phase1	Phase 1	NCT07274085	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
PD-L1 ISA	Boltbody ISAC PD-L1 (Bolt Bio)		Programmed cell death 1 ligand 1 (CD274)	Bolt Biotherapeutics, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BL-M02D1	BL M02D1; BL-M02D1; BLM02D1		Tumor-associated calcium signal transducer 2 (TROP2)	Sichuan Baili Pharmaceutical Co., Ltd; Systimmune, Inc; Chengdu Bailidote Biological Pharmaceutical Co., Ltd	Phase2	Phase 1/2	NCT05339685; NCT05385692	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
KSI-501					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Anetumab ravtansine	Anetumab ravtansine; Anti-mesothelin antibody-drug conjugate BAY 94-9343; Anti-mesothelin-ADC-BAY-94-9343; BAY 94-9343; BAY-94-9343; BAY-94-9343-SPDB-DM4; BAY94-9343		Mesothelin (MSLN)	MorphoSys AG; Bayer AG	Phase2	Phase 2 (Terminated)	NCT01439152; NCT02485119; NCT02610140; NCT02639091; NCT02696642; NCT02751918; NCT02824042; NCT02839681; NCT03023722; NCT03102320; NCT03126630; NCT03455556; NCT03587311; NCT03816358; NCT03926143	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
B-003	Anti-HER2 monoclonal antibody-MCC-DM1 conjugate; B 003; B-003; B003		Receptor tyrosine-protein kinase erbB-2 (HER2)	Shanghai Jiaolian Drug Development Co. Ltd; Shanghai Pharmaceuticals Holding Co., Ltd	Phase1	Phase 1	NCT03953833	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SAR-428926	SAR 428926; SAR-428926; SAR42 8926; SAR428926		Lysosome-associated membrane glycoprotein 1 (LAMP1)	ImmunoGen, Inc; Sanofi	Phase1	Phase 1 (Terminated)	NCT02575781	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
CBT-3112	DCLK1 targeting paclitaxel based ADC (Coare Biotechnology); CBT3112; CBT 3112		Serine/threonine-protein kinase DCLK1 (DCLK1)	COARE Biotechnology Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MYK-3	MYK 3		Epidermal growth factor receptor (EGFR)	Shanghai Miracogen Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Trastuzumab deruxtecan	DS-8201; DS-8201a; fam-trastuzumab deruxtecan-nxki; DS 8201; DS 8201a; Fam-trastuzumab deruxtecan; T-DXd; Trastuzumab Deruxtecan		Receptor tyrosine-protein kinase erbB-2 (HER2)	Daiichi Sankyo Inc; AstraZeneca PLC; Baxter Oncology GmbH	Approved	Approved (FDA): Dec 05, 2019	NCT02564900; NCT03248492; NCT03329690; NCT03505710; NCT03529110; NCT03734029; NCT04644237; NCT04744831; NCT04752059	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
SGN-B7H4V	PF-08046048; SGN-B7H4V; SGNB 7H4V; SGNB7H4V		V-set domain-containing T-cell activation inhibitor 1 (VTCN1)	Seagen Inc	Phase1	Phase 1	NCT05194072	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RG-7986					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ICAM1-DM1 ADC	ICAM1-DM1 ADC (Boston Children's Hospital); anti-ICAM1-SMCC-DM1 (Boston Children's Hospital)		Intercellular adhesion molecule 1 (ICAM1)	Boston Children's Hospital	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MBC-301	MBC 301; MBC301		Undisclosed	Medigen Biotechnology Corp	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HLX-41	HLX41; HLX 41		Zinc transporter ZIP6 (SLC39A6)	Shanghai Henlius Biotech, Inc; Shanghai Fosun Pharmaceutical (Group) Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Ozuriftamab vedotin	BA3021; Ba-3021; CAB Ror2-ADC; CAB-ADC; CAB-ROR2; CAB-ROR2-ADC; HTBA3021; Ozuriftamab vedotin		Tyrosine-protein kinase transmembrane receptor ROR2 (ROR2)	BioAtla, Inc; Kaibos (Shanghai) Biomedical Co., Ltd	Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
ADCE-B05					Phase1	Phase 1	NCT07362888	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
BYON-4413	BYON 4413; BYON-4413; BYON4413		Interleukin-3 receptor subunit alpha (IL3RA)	Byondis BV	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
JAB-X1800	JABX1800; JAB X1800		5'-nucleotidase (NT5E)	Jacobio Pharmaceuticals Group Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
AVP10	AVP 10; AVP-10; PV10-MMAF		Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Avipep Pty Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ABBV-3373	ABBV 3373; ABBV-3373; ABBV3773; anti-TNF-GRM-antibody-drug-conjugate; glucocorticoid receptor modulator (GRM) linked to adalimumab		Tumor necrosis factor receptor superfamily member 1A (TNFRSF1A)	AbbVie, Inc	Phase2	Phase 2 (Terminated)	NCT03823391	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
TGW-101	TGW101; TGW 101		Tumor-associated glycoprotein 72 (TAG-72)	Tagworks Pharmaceuticals BV	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
BMT-125961	BMT125961; BMT 125961		Undisclosed	Bristol Myers Squibb Co	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RC-168	RC168; RC 168		Undisclosed	RemeGen Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
P38B-DM1	P38B DM1; P38B DBCO-HSA-DM-1		Podoplanin (PDPN)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ATG-022	ATG 022; ATG-022; ATG-022 ADC; ATG022		Claudin-18.2 (CLDN18.2)	Antengene Corporation Co., Ltd	Phase1	Phase 1	NCT05718895	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
NBT-568	NBT 568; NBT568		Undisclosed	NewBio Therapeutics	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MP-EV-20	MP-EV20; MP EV 20		Receptor tyrosine-protein kinase erbB-3 (HER3)	MediaPharma Srl	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MP-ENDOS-ADC					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LM-001	LM-001 (LaNova Medicines); LM001; LM 001		Undisclosed	LaNova Medicines Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XNW-27011	XNW 27011; XNW-27011; XNW27011		Claudin-18.2 (CLDN18.2)	Suzhou Sinovent Pharmaceuticals Co.,Ltd; Shanghai Sinovent Biopharmaceutical Co., Ltd	Phase2	Phase 1/2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Omalizumab-amanitin 3	Omalizumab Amanitin3		High affinity immunoglobulin epsilon receptor subunit alpha (FCER1A)	Heidelberg Pharma AG	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JSKN-003	JSKN 003; JSKN-003; JSKN003		Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	Alphamab Oncology; Alphamab Australia Co. Pty Ltd	Phase3	Phase 3		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
LCB-71					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XMT-1660	XMT 1660; XMT-1660; XMT1660		V-set domain-containing T-cell activation inhibitor 1 (VTCN1)	Mersana Therapeutics, Inc	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
JSKN027					Phase1	Phase 1	NCT07391644	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TAA-013	Anti-HER2 ADC (TOT Biopharm); TAA 013; TAA-013; TAA013; Trastuzumab antibody drug conjugate (TOT Biopharm)		Receptor tyrosine-protein kinase erbB-2 (HER2)	Tot Biopharm Co. Ltd	Phase3	Phase 3 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Indusatumab vedotin	GCC antibody drug conjugate; Indusatumab vedotin; MLN 0264; MLN-0264; MLN0264; TAK 264; TAK-264; TAK-264, MLN02 64; TAK264		Guanylyl cyclase C (GUCY2C)	Millennium Pharmaceuticals, Inc; Takeda Pharmaceutical Co., Ltd; Seagen Inc	Phase2	Phase 2 (Terminated)	NCT01577758; NCT02202759; NCT02202785; NCT02391038	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
LCB-73	LCB73; LCB 73		B-lymphocyte antigen CD19 (CD19)	LegoChem Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BC5084	BC-50084; BC 50084		Undisclosed	Wuxi Biocity Biopharmaceutics Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Camidanlumab tesirine	ADCT-301; Cami; Camidanlumab tesirine; HuMax-TAC-ADC		Interleukin-2 receptor subunit alpha (IL2RA)	ADC Therapeutics SA	Phase2	Phase 2	NCT02432235; NCT02588092	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed
YL202					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
BG-C0979					Phase1	Phase 1	NCT07414836	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Zanidatamab zovodotin	ZW 49; ZW-49; ZW49; Zanidatamab zovodotin; anti-HER2 x HER2 ADC		Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	Zymeworks BC, Inc; BeiGene Ltd	Phase1	Phase 1 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SMD-5033	SMD 5033; SMD5033		Undisclosed	Sirenas Marine Discovery LLC	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HLX48					Phase1	Phase 1	NCT07473726	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SBO-154					Phase1	Phase 1	NCT07042100	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
<sup>131</sup>I-ImmuRAIT-HCG					Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LM-302	BMS-986476; LM 302; LM-302; TPX-4589; TPX 4589; TPX4589		Claudin-18.2 (CLDN18.2)	LaNova Medicines Ltd; Turning Point Therapeutics, Inc	Phase3	Phase 3		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PF-08046033					Phase1	Phase 1	NCT07519655	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Cymac-001	Cymac001; Cymac 001; Anti-CD163-dexamethasone		Scavenger receptor cysteine-rich type 1 protein M130 (CD163)	Affinicon ApS	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TT-01	Mtt-01; TT01; TT 01; TT-01 (Topmunnity therapeutics)		Undisclosed	Topmunnity Therapeutics	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
STI-6129	LNDS-1001; LNDS1001; STI 6129; STI-6129		ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (CD38)	Sorrento Therapeutics, Inc; Zhejiang ACEA Pharmaceutical Co., Ltd	Phase2	Phase 1/2 (Terminated)	NCT04316442; NCT05308225; NCT05519527; NCT05565807; NCT05584709; NCT05692908	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
NBT-508					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DpADC	Trop-2 dp-ADC; dp ADC		Tumor-associated calcium signal transducer 2 (TROP2)	GeneQuantum Healthcare (Suzhou) Co. Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
NBE-002	BI-3702025; NBE 002; NBE-002; NBE-002; PNU-159682-anti-ROR1 antibody drug conjugate; huXBR1-402-PNU		Inactive tyrosine-protein kinase transmembrane receptor ROR1 (ROR1)	NBE-Therapeutics AG	Phase2	Phase 1/2 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
VLS-301	VLS 301; VLS301		Undisclosed	VelosBio, Inc; Merck & Co., Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ARC-02	Anti-CD79b-MMAE ADC; Anti-CD79b-MMAE ADC (Araris Biotech); ARC 02; ARC02		B-cell antigen receptor complex-associated protein beta chain (CD79B)	Araris Biotech AG	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HS-20122					Phase1	Phase 1	NCT06927570	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Mirvetuximab soravtansine	IMGN853; M9346A-sulfo-SPDB-DM4; Anti-FOLR1 monoclonal antibody-maytansinoid conjugate; MIRV; HDM2002; IMGN-853; M9346-Asulfo-SPDB-DM4; M9346A-sSPDB-DM4; M9346A-sulfo-SPDB-DM4; Anti-FOLR1-monoclonal-antibody-maytansinoid-conjugate-IMGN-853; Mirvetuximab soravtansine-gynx		Folate receptor alpha (FOLR1)	ImmunoGen, Inc; Hangzhou Zhongmeihuadong Pharmaceutical Co., Ltd	Approved	Approved (FDA): Nov, 2022	NCT02606305; NCT02631876; NCT04296890	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
WTX-231	WTX 231; WTX231		Undisclosed	Westlake Therapeutics (Hangzhou) Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BL-M24D1					Phase1	Phase 1	NCT07232420; NCT07232524; NCT07255898; NCT07279428	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LMB-7	B3 (Fv) PE 38; LMB 7; LMB-7; LMB7; NSC 658931		Poly [ADP-ribose] polymerase 1 (PARP1)	National Cancer Institute	Phase1	Phase 1 (Terminated)	NCT00003020	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MRX-23	MRX 23; MRX23		Undisclosed	Shanghai MicuRx Pharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
M7437					Phase1	Phase 1	NCT07311603; NCT07360314	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
Obexelimab-amanitin	Obexelimab amanitin		B-lymphocyte antigen CD19 (CD19)	LegoChem Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
GenSci139					Phase1	Phase 1	NCT07230977	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XB-002	ICON-2; XB 002; XB- 002; XB-002; XB002; XB002 Tissue Factor ADC		Tissue factor (F3)	Iconic Therapeutics, Inc; Exelixis, Inc; Exelis, Inc	Phase1	Phase 1 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
FDA022-BB05					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ESG406					Phase1	Phase 1	NCT06979674	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XMT-1522	TAK 522; TAK-522; TAK522; XMT 1522; XMT-1522; XMT-1522, TAK-522; XMT1522		Receptor tyrosine-protein kinase erbB-2 (HER2)	Mersana Therapeutics, Inc; Adimab LLC; Takeda Pharmaceutical Co., Ltd	Phase1	Phase 1 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed
SAR-566658	Anti-CA6-DM4-immunoconjugate-SAR566658; Anti-CA6-antibody-drug-conjugate; HuDS6-DM4; SAR 566658; SAR-566658; SAR56 6658; SAR566658; huDS6-DM4		Carbonic anhydrase 6 (CA6)	Sanofi; ImmunoGen, Inc	Phase2	Phase 2 (Terminated)	NCT01156870; NCT02984683	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JY-023	JY 023; JY023		Undisclosed	Beijing Eastern Biotech Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LNL-008	LNL008; LNL 008		Claudin-18.2 (CLDN18.2)	L&L Biopharma Co., LTD	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ATRC-301	ATRC301; ATRC 301		Ephrin type-A receptor 2 (EPHA2)	Atreca, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BAT-8010					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
DB-1202	DB 1202; DB-1202; DB1202		Undisclosed	Duality Biologics	Phase2	Phase 1/2	NCT05785728	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SC-011					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MHB088C					Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
AR081	AR 081; AR081		Undisclosed	YBiologics, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ANT-045	ANT045; ANT 045		Insulin-like growth factor 1 receptor (IGF1R)	Antikor Biopharma Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
KTN0182A	KTN-0182A; KTN 0182A		Mast/stem cell growth factor receptor Kit (KIT)	Kolltan Pharmaceuticals, Inc; Celldex Therapeutics, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
OMTX-705	MTX5-CYT; OMTX 705; OMTX-705; OMTX705		Prolyl endopeptidase FAP (FAP)	Oncomatryx Biopharma SL; Inxmed (Nanjing) Co., Ltd; InxMed (Hong Kong) Limited	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
BL-B029A1	BL-B029; BLB029; BL B029		Undisclosed	Systimmune, Inc; Sichuan Baili Pharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Farletuzumab ecteribulin	ER-001159569; Eribulin/farletuzumab antibody drug conjugate; Farletuzumab ecteribulin; Farletuzumab/eribulin ADC; MORAb 202; MORAb-202; VCP-Eribulin		Folate receptor alpha (FOLR1)	Eisai Co., Ltd; Bristol Myers Squibb Co	Phase2	Phase 1/2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
TORL-3-600	TORL-3-600; TORL-3-600 ADC; TORL-3-600-ADC		Cadherin-17 (CDH17)	TORL Biotherapeutics LLC; Translational Research In Oncology US, Inc	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TQB2103	TQB 2103; TQB-2103; TQB2103		Claudin-18.2 (CLDN18.2)	Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
BDC-1001	BDC 1001; BDC-1001; Boltbody ISAC BDC-1001		Receptor tyrosine-protein kinase erbB-2 (HER2)	Bolt Biotherapeutics, Inc	Phase2	Phase 2 (Terminated)	NCT04278144	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Zapadcine-1	Zapadcine 1; DR5 mAb-Py-VC-PAB-MMAD		Tumor necrosis factor receptor superfamily member 10B (TNFRSF10B)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
T320-ADC					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MBK-101	MBK 101; MBK101		Undisclosed	Mablink Bioscience	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BAY-1862864	BAY 1862864; BAY-1862864; BAY1862864; CD22-Thorium-conjugate; Epratuzumab Th-227 conjugate; epratuzumab-227Th-conjugate; epratuzumab-Th227-conjugate		B-cell receptor CD22 (CD22)	Bayer AG	Phase1	Phase 1 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IOG-101	Fusion proteins (ioGenetics); IOG101; IOG 101		Undisclosed	Iogenetics LLC	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Elatatug vedotin					Phase1	Phase 1	NCT05156866	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Oportuzumab monatox	4D5MOCB-ETA; Anti-ECAM exotoxin A fusion protein; B-4845; Oportuzumab monatox; Proxinium; VB-4847; VB-845; VB4-845; Vicineum; Vicinium; Vysyneum; oportuzumab monatox-qqrs		Epithelial cell adhesion molecule (EPCAM)	Sesen Bio; Qilu Pharmaceutical Co., Ltd; Baxter Oncology GmbH; Viventia Bio, Inc	Phase3	Phase 3	NCT00462488	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CHB-111					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MK-6204					Phase1	Phase 1	NCT06726369	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LCB-67	Anti-DLK1 ADC; MMAE-anti-DLK1; PYX 202; DLK1-MMAE; LCB67; LCB 67; PAY-202; PAY202		Protein delta homolog 1 (DLK1)	LegoChem Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
EX107	EX 107; EX-107		T-cell surface glycoprotein CD3 delta chain (CD3D); Programmed cell death protein 1 (PDCD1)	Excelmab Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MG2106E	MG2106E (Shanghai MabGen Biotech); MG-2106E; MG 2106E		Undisclosed	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Mecbotamab vedotin	BA 3011; BA3011; CAB-AXL-ADC; CAB-Axl antibody-drug conjugates; HTBA-3011; HTBA3011; Mecbotamab Vedotin; Mecbotamab vedotin		Tyrosine-protein kinase receptor UFO (AXL)	BioAtla, Inc	Phase2	Phase 1/2	NCT03425279; NCT04681131	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
DXC-003	DXC003; DXC 003		Tumor-associated calcium signal transducer 2 (TROP2)	Hangzhou DAC Biotech Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BCMA-077	BCMA 077; BCMA077		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Sorrento Therapeutics, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JNJ-89862175					Phase1	Phase 1	NCT07223125	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
